,tag
145,"['Huyou', 'New Coronavirus']"
146,"['New Coronavirus', 'Saliva']"
147,"['New Coronavirus', 'Pneumonia']"
148,"['Whiskey', 'Honey']"
149,"['Carambola Leaf', 'New Coronavirus']"
150,"['South China Seafood Market', 'Xu Cuiqin']"
151,"['Mask', 'napkin']"
152,"['New coronavirus', 'eye conjunctiva']"
153,"['Houttuynia cordata', 'New coronavirus']"
154,"['Freshwater Fish', 'Fecal Mouth Transmission']"
155,"['Ganoderma', 'New Coronavirus']"
156,"['Wuhan', 'New Coronavirus']"
157,"['New Coronavirus', 'Bird's Nest']"
158,"['New Coronavirus Pneumonia', 'Patient Zero']"
159,"['Indoor ozone', 'Disinfection']"
160,"['New Coronavirus', 'Hot Water']"
161,"['Wormworm', 'pneumonia']"
162,"['New Crown Pneumonia', 'Highway']"
163,"['Xuetian', 'Playing with snow']"
164,"['New Coronavirus', 'Agarwood']"
165,"['New Coronavirus', 'Human Orange']"
166,"['Exhaust Fan', 'Bacteria']"
167,"['Vitamin C', 'New Coronavirus']"
168,"['Australia', 'New Coronavirus']"
169,"['India', 'New Coronavirus']"
170,"['New Coronavirus', 'Medical Protective Clothing']"
171,"['New Coronavirus', 'Contact Transmission']"
172,"['Hubei', 'Rice']"
173,"['Fruit', 'new coronavirus']"
174,"['New Coronavirus', 'Pepper')"
175,"['Plasma', 'new coronavirus']"
176,"['Contact lenses', 'Increase risk of infection']]"
177,"['Plasma', 'new coronavirus']"
178,"['Sachet', 'New Coronavirus']"
179,"['New Coronavirus', 'Mask']"
180,"['Soap', 'Antibacterial']"
181,"['Wenzhou', 'New Coronavirus']"
182,"['Zhejiang', 'Newborn']"
183,"['Argentina', 'Mate Tea']"
184,"['Shanghai', 'New Coronavirus']"
185,"['New Coronavirus', 'Disease Transmission']"
186,"['Diammonium glycyrrhizinate', 'Vitamin C']"
187,"['Zhong Nanshan', 'Smoking']"
188,"['Alcohol', '84 Disinfectant ']"
189,"['Coronavirus', 'Japan']"
190,"['Song Yong', 'New Crown Pneumonia']"
191,"['Wild Vegetable', 'New Coronavirus']"
192,"['New Coronavirus', 'Alcohol']"
193,"['Hang Qi', 'Pneumonia']"
194,"['New Coronavirus', 'Infectious Disease']"
195,"['Shanghai', 'Education']"
196,"['New Coronavirus', 'Infectious Disease']"
197,"['New Coronavirus', 'Ebola virus']"
198,"['Levofloxacin Eye Drops', 'New Coronavirus']"
199,"['Wuhan', 'Vulcan Mountain Hospital']"
200,"['Hubei Suizhou', 'New Coronavirus']"
201,"['Zhong Nanshan', 'Beef and Mutton']"
202,"['New Coronavirus', 'Contact Dermatitis']"
203,"['Zhong Nanshan', 'Li Shaofen']"
204,"['Realgar', 'New Coronavirus']"
205,"['Disinfection', 'Ethanol']"
206,"['Mask', 'Material']"
207,"['Matsutake', 'new coronavirus']"
208,"['New Crown Pneumonia', 'Self-Limiting Disease']"
209,"['Floor Drain', 'Aerosol Transmission']"
210,"['Suzhou', 'New Coronavirus']"
211,"['Mask', 'Sanitize']"
212,"['Indonesia', 'Evacuation']"
213,['Probiotics']
214,"['New Coronavirus Pneumonia', 'Shanghai']"
215,"['New Coronavirus', 'Onion']"
216,"['Zhong Nanshan', 'New Crown Pneumonia']"
217,"['Redesivir', 'New Coronavirus']"
218,"['Deep breathing', 'new coronavirus']"
219,"['New Coronavirus', 'Urine is not wet']"
220,"['Jinan', 'Main road kills']"
221,"['Guangzhou', 'New Coronavirus']"
222,"['Beijing', 'New Coronavirus']"
223,"['Harvard Eight Swordsmen', 'New Coronavirus']"
224,"['New Coronavirus', 'Mask']"
225,"['Pork', 'New coronavirus']"
226,"['New coronavirus', 'Fecal-oral transmission']"
227,"['New Coronavirus', 'Aerosol Transmission']"
228,['New Coronavirus']
229,"['New Coronavirus', 'Handset']"
230,"['New Coronavirus', 'Foam']"
231,"['Shandong Lanling County', 'Garlic']"
232,"['Electric mask', 'New coronavirus']"
233,"['Doctor Li Wenliang', 'Dancing']"
234,"['Aerosol', 'New Coronavirus']"
235,['Beijing subway']
236,"['Chengdu', 'Public Transport']"
237,"['Harbin', 'Take a bus']"
238,"['Chengdu', 'Community Management']"
239,"['Australia', 'Kenya']"
240,"['Public transport', 'identity card']"
241,"['Nanjing', 'Infectious Disease']"
242,"['New Coronavirus', 'Antibiotics']"
243,"['New Coronavirus', 'Infectious Disease']"
244,"['Mask', 'spray alcohol']"
245,"['Mask', 'Disinfection method']"
246,"['New Coronavirus', 'Nucleic Acid Detection']"
247,"['Mask', 'hair dryer']"
248,"['Shanghai', 'Disinfection']"
249,"['Spring Festival', 'Extended Holiday']"
250,"['Zhong Nanshan', 'Traditional Chinese Medicine']"
251,"['Compound Cresol Soap', 'New Crown Virus']"
252,"['White wine', 'Refrigerator']"
253,"['Zhong Nanshan', 'New Coronavirus']"
254,"['Pangolin', 'New Coronavirus']"
255,"['New Coronavirus', 'Disinfectant']"
256,"['Wuhan', 'Fire']"
257,"['Chlorine Dioxide', 'Humidifier']"
258,"['New Coronavirus', 'Infectious Disease']"
259,"['Redesivir', 'New Coronavirus']"
260,"['Chongqing', 'Disinfection Channel']"
261,"['Pneumonia', 'new coronavirus']"
262,"['New Coronavirus', 'Aerosol']"
263,"['Mask', 'toilet towel']"
264,"['Tonggans water', 'Brine solution']"
265,"['New Coronavirus', 'Fruit']"
266,"['Express', 'Takeaway']"
267,"['Li Wenliang', 'Harvard Medical School']"
268,"['Express',' SF '']"
269,"['New Coronavirus', 'Pneumonia']"
270,"['Ridsivir', 'New Coronavirus Pneumonia']"
271,"['New Coronavirus', 'Changsha']"
272,"['New Coronavirus', 'Sanitary Napkin']"
273,"['Vulcan Mountain Hospital', 'Japan']"
274,"['New Coronavirus', 'Betel Nut']"
275,"['New Coronavirus', 'Infectious Disease']"
276,"['New Coronavirus', 'Infectious Disease']"
277,"['New Coronavirus', 'Pig']"
278,"['New Coronavirus', 'Ningbo']"
279,"['Mask', 'diaper']"
280,"['Brown sugar', 'Ginger']"
281,"['Anti-overflow breast pad patch', 'Mask']"
282,"['New Coronavirus', 'Pneumonia']"
283,"['United States', 'Evacuation']"
284,"['New Coronavirus', 'United States']"
285,"['New Coronavirus', 'Fresh Wind System']"
286,"['Drinking', 'new coronavirus']"
287,"['Hubei', 'Xintang']"
288,"['Mask', 'New Coronavirus Pneumonia']"
289,"['Wuhan', 'Liberation Army']"
290,"['Wuhan', 'Supermarket']"
291,"['Alcohol', 'fire']"
292,"['Zhong Nanshan', 'Gilead Corporation']"
293,"['Mosquito', 'fly']"
294,"['Cigarette', 'alcohol']"
295,"['SARS', 'Hong Kong']"
296,"['New Coronavirus', 'Feces']"
297,"['84 Sanitizer ',' Alcohol ']"
298,"['Nucleic acid test', 'CT']"
299,"['Shoes,' disinfection water ']"
300,"['Pet', 'new coronavirus']"
301,"['Fever', 'New Coronavirus']"
302,"['Water vapor', 'bat']"
303,"['Tianjin', 'Alcohol']"
304,"['New Coronavirus', 'Saline']"
305,"['Mask', 'Beijing']"
306,"['New Coronavirus', 'Mask']"
307,"['New Coronavirus', 'Li Lanjuan']"
308,"['Cooked Food', 'Virus']"
309,"['New Coronavirus', 'New Coronavirus']"
310,"['Mask', 'Fuzhou']"
311,"['Disinfectant', 'New Coronavirus']"
312,"['Air conditioner', 'New coronavirus']"
313,"['Enzyme', 'virus']"
314,"['New Coronavirus', 'Thailand']"
315,"['New Coronavirus', 'Gene']"
316,"['Ridsieve', 'Patent']"
317,"['New Coronavirus', 'Mask']"
318,"['Shanghai', 'Real Name System']"
319,"['New Coronavirus', 'Infectious Disease']"
320,"['New Coronavirus', 'Genetically Modified']"
321,"['Shanghai', 'Explosion']"
322,"['Helicopter', 'Wuhan']"
323,"['Lacticin', 'New Coronavirus']"
324,"['New Coronavirus', 'Infected person']"
325,"['Mask', 'oven']"
326,['']
327,"['Children's urine', 'New coronavirus']"
328,"['Germany', 'Aerosol Treatment']"
329,"['Honeysuckle', 'Green Tea']"
330,"['New Coronavirus', 'remdesivir']"
331,"['Rent Free', 'Landlord']"
332,"['Coronavirus', 'New Coronavirus']"
333,['']
334,"['New Coronavirus', 'Ginger']"
335,"['SARS', 'SARS']"
336,"['New Coronavirus', 'Fujian Zhengqi']"
337,"['New Coronavirus', 'Drugs']"
338,"['Shuanghuanglian Oral Solution', 'New Coronavirus']"
339,"['Drinking Tea', 'New Coronavirus']"
340,"['New Coronavirus', 'Antibiotics']"
341,"['Chan Pi', 'New Coronavirus']"
342,"['New Coronavirus Pneumonia', 'Nucleic Acid Test']"
343,"['New Coronavirus', 'Rumors']"
344,"['Mask', 'Disinfection Cabinet']"
345,"['New Coronavirus', 'Infectious Disease']"
346,"['Grassfish', 'Fish']"
347,"['Guangzhou', 'Mask']"
348,"['New Coronavirus', 'Temperature']"
349,"['Immunity', 'Sugar']"
350,"['Tap Water', 'Nanjing']"
351,"['New Coronavirus', 'Pregnant Woman']"
352,"['New Coronavirus', 'Blood']"
353,"['Runny Nose', 'New Coronavirus Pneumonia']"
354,"['New Coronavirus Pneumonia', 'Walk']"
355,"['New Coronavirus', 'Pneumonia']"
356,"['Customs', 'Mask']"
357,"['Asia', 'New Coronavirus']"
358,"['Mask', 'alcohol']"
359,"['Charity', 'Donation']"
360,"['Flower water', 'new coronavirus']"
361,['']
362,"['New pneumonia', 'yupingfeng']"
363,"['Coronavirus', 'New Coronavirus Pneumonia']"
364,"['HowNet', 'Thesis']"
365,"['Wonderful Oil', 'Virus']"
366,"['French Strike', 'Wuhan']"
367,"['Sweater', 'new crown pneumonia virus']"
368,['']
369,"['Mushutan', 'new coronavirus']"
370,"['Contact Transmission', 'New Coronavirus']"
371,"['Handshake', 'Hug']"
372,"['Garlic', 'Rock sugar']"
373,"['Resveratrol', 'New Coronavirus']"
374,"['Chengdu', 'Fengcheng']"
375,"['Heilongjiang', 'High-speed road closure']"
376,"['Virus', 'Sneezing']"
377,"['Wuhan', 'Japan']"
378,"['Beijing', 'Supermarket']"
379,"['New Coronavirus', 'Cash']"
380,['New Coronavirus']
381,"['New Coronavirus Pneumonia', 'Hot Bath']"
382,"['New Coronavirus', 'Seafood']"
383,"['UV light', 'New coronavirus']"
384,"['Alcohol', 'New Coronavirus']"
385,"['New Coronavirus', 'Air Conditioner']"
386,"['N95 mask', 'Mask']"
387,"['White wine', 'Alcohol']"
388,"['SARS', 'USA']"
389,"['New Coronavirus', 'Red Wine']"
390,"['New Coronavirus', 'Flower Mushroom']"
391,"['Virus', 'new coronavirus']"
392,"['Sanitize', 'Virus']"
393,"['Sanitize', 'Virus']"
394,"['Chengdu', 'Bus']"
395,"['New Coronavirus', 'Aspirin']"
396,"['Zhejiang', 'High Speed']"
397,"['Wuhan', 'Hangzhou']"
398,"['Lactoferrin', 'New Coronavirus']"
399,['']
400,"['Guangzhou', 'Fengcheng']"
401,['']
402,"['Thailand', 'Renewal']"
403,"['Beijing', 'Feng Cheng']"
404,"['Shenzhen', 'New Coronavirus']"
405,"['Air conditioner', 'New coronavirus']"
406,"['Shanghai', 'New Coronavirus']"
407,"['Pneumonia', 'new coronavirus']"
408,"['Pneumonia', 'Hangzhou']"
409,"['New Coronavirus Pneumonia', 'Vaccine']"
410,"['Pneumonia', 'new coronavirus']"
411,"['Pneumonia', 'new coronavirus']"
412,"['New Coronavirus', 'Chilli']"
413,"['Daqing', 'Spill medicine']"
414,"['New Coronavirus Pneumonia', 'Treatment']"
415,"['Strawberry', 'New Coronavirus Pneumonia']"
416,"['Pneumonia', 'new coronavirus']"
417,"['Pneumonia', 'new coronavirus']"
418,"['Pneumonia', 'new coronavirus']"
419,"['Pneumonia', 'new coronavirus']"
420,"['Hangzhou', 'Disinfectant Potion']"
421,"['Hong Kong', 'New Coronary Pneumonia Virus']"
422,"['Zhong Nanshan', 'Isolation']"
423,"['Pneumonia', 'new coronavirus']"
424,"['Beijing', 'Wuhan']"
425,"['New Coronavirus', 'Mask']"
426,"['Pneumonia', 'new coronavirus']"
427,"['Pneumonia', 'new coronavirus']"
428,"['Shanghai', 'Traffic Restrictions']"
429,"['Zhong Nanshan', 'New Coronavirus']"
430,"['New Coronavirus', 'Pneumonia']"
431,"['Pneumonia', 'new coronavirus']"
432,"['Xinyang', 'Pneumonia']"
433,"['Xian', 'Pneumonia']"
434,"['Garlic', 'New Coronavirus']"
435,"['Pneumonia', 'new coronavirus']"
436,"['N95', 'Mask']"
437,"['Pneumonia', 'new coronavirus']"
438,"['Banana', 'new coronavirus']"
439,"['Singapore', 'Hangzhou']"
440,"['Sichuan', 'High-speed road closure']"
441,"['Pneumonia', 'new coronavirus']"
442,"['Pneumonia', 'Little Tangshan']"
443,"['Pneumonia', 'new coronavirus']"
444,"['Hankou', 'pneumonia']"
445,"['Pneumonia', 'new coronavirus']"
446,"['Sesame oil', 'flu']"
447,"['Xiangya Hospital', 'Pneumonia']"
448,"['Pneumonia', 'new coronavirus']"
449,"['Anchor', 'mask']"
450,"['Jay Chou', 'Isolation Box']"
451,"['New Coronavirus', 'Disney']"
452,"['Gas Station', 'Pneumonia']"
453,"['Oseltavir', 'New Coronavirus']"
454,"['Wind Oil', 'Flu']"
455,"['Drinking', 'new coronavirus']"
456,"['Wuhan', 'Disinfectant']"
457,"['Brine Mouthwash', 'New Coronavirus']"
458,"['Shandong', 'Jimo']"
459,"['Alipay', 'Wuhan']"
460,"['New Coronavirus', 'Mask']"
461,"['Pneumonia', 'new coronavirus']"
462,"['Kyowa Hospital', 'New Coronavirus']"
463,"['Antibody', 'New Coronavirus']"
464,"['Mask', 'New Coronavirus']"
465,"['Isolation', 'Infection']"
466,"['Fireworks', 'Plague']"
467,"['New Coronavirus', 'Infection']"
468,"['Pneumonia', 'virus']"
469,"['Smoking', 'SARS']"
470,"['Vinegar', 'Acetic acid']"
471,['']
