,Unnamed: 0,title,date,author,result,id
500,585,"""Ransomware"" appears on WeChat Pay",2019/1/28,Wei Wei,FALSE,https://vp.fact.qq.com/article?id=02031bd030b799a327d6c9645b4c17c0
862,1072,"Wild fungus poisoning a family of six in Pingba, Wenshan, Yunnan",2017/7/26,Song Hui,FALSE,https://vp.fact.qq.com/article?id=976b76bed38b7e24d6dc6214494c7306
502,587,Mother with high hepatitis B virus can't have children,2016/7/23,Wei Wei,FALSE,https://vp.fact.qq.com/article?id=53fb0f0e5f80c4c4c75e5dbc78086a69
861,1071,Arsenal suffers from collective food poisoning in Shanghai,2017/7/20,Zheng Ziyu,FALSE,https://vp.fact.qq.com/article?id=c90682223b8fd92063fb5306e9a0a7dd
860,1070,Table salt may contain highly toxic additives,2017/4/12,Song Hui,FALSE,https://vp.fact.qq.com/article?id=3066ba0fb2bff2436d2bade1b120965d
505,590,Smoke the room with wormwood to kill the flu virus,2019/1/5,Wei Wei,FALSE,https://vp.fact.qq.com/article?id=8b6324a4da1e8bd149b21105d0a726a0
506,591,"""Ransomware"" appears on WeChat Pay",2018/12/5,Hu Yuandong,FALSE,https://vp.fact.qq.com/article?id=312b755db5b7212e863039bf4a7df8da
507,592,Zika virus is caused by genetically modified mosquitoes,2018/9/22,Section of ginger,FALSE,https://vp.fact.qq.com/article?id=cf32195f8ca538d64eecb45794c87918
871,1081,Lychee treated with fungicides and preservatives is poisonous,2017/6/22,Li Chang,FALSE,https://vp.fact.qq.com/article?id=6731f05f8e721fb22482793304b5794b
508,593,Curcumin protects against cancer caused by HPV virus,2018/8/1,,FALSE,https://vp.fact.qq.com/article?id=068bed9464496ad2f02b6320d1c3a009
487,506,"Someone in Shangqiu, Henan Province was poisoned by eating watermelon and infected with H7N9 virus",2018/4/9,Section of ginger,FALSE,https://vp.fact.qq.com/article?id=119c7edfbadbd2c41cfa1444f386aa18
873,1083,Toxic after melting ice cream,2017/7/24,True team,FALSE,https://vp.fact.qq.com/article?id=ffbdd4cc0fe20fcfe19ceea36d41664a
465,465,"This glass unit is the ""isolation compartment"", which is used to isolate the patient",2020/1/22,"Doctor of Medicine, Deputy Chief Physician, Young Member of the Popular Science Branch of the Chinese Medical Association",FALSE,https://vp.fact.qq.com/article?id=762167361e181d478652f85ac76fe34d
466,466,Fireworks can be disinfected to prevent plague,2020/1/21,"Doctor of Medicine, Deputy Chief Physician, Young Member of the Popular Science Branch of the Chinese Medical Association",FALSE,https://vp.fact.qq.com/article?id=a54f4a260301565af3454048724350f5
878,1088,Eating MSG Chicken Essence can cause weight gain and poisoning,2018/7/20,Liu Pingping,FALSE,https://vp.fact.qq.com/article?id=a21810268fb553ac47a932c27e4218bf
468,468,Vitamin C effervescent tablets can prevent new coronavirus,2020/1/21,"Doctor of Medicine, Deputy Chief Physician, Young Member of the Popular Science Branch of the Chinese Medical Association",FALSE,https://vp.fact.qq.com/article?id=27cb4d680688502e958f3338a062d313
469,469,Smoking prevents SARS because e-liquid can block virus from entering lung cells,2020/1/21,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",FALSE,https://vp.fact.qq.com/article?id=70923ebacac69b6441a74afc972c12b5
470,470,White vinegar on the radiator can disinfect indoor air,2020/1/21,"Doctor of Medicine, Deputy Chief Physician, Young Member of the Popular Science Branch of the Chinese Medical Association",FALSE,https://vp.fact.qq.com/article?id=c277f00c36576e096ef010fb452bc91b
471,471,Wuhan unknown cause pneumonia SARS virus,2020/1/18,China CDC Official Account Official Account,FALSE,https://vp.fact.qq.com/article?id=82226639be57efa52297094f79ec6d52
877,1087,Carcinogenic toxicity of ham and bacon is comparable to arsenic,2015/10/28,Cloudless,FALSE,https://vp.fact.qq.com/article?id=9b35e7c0aada25d5e04c95ae6f9e4d91
473,481,"The video of ""Li Yong's death"" is a virus, do not open",2018/10/30,Cheyenne,FALSE,https://vp.fact.qq.com/article?id=c727ee3a7a738837963258e28384f513
876,1086,Sodium cyanide volatilization will turn into highly toxic rain,2015/8/15,Zhang Puyao,FALSE,https://vp.fact.qq.com/article?id=8eddac90ee3e2804e6841b7f3b9642c3
476,484,Click to open the virus in the SF listed red envelope,2017/3/9,Zhao Yanchang,FALSE,https://vp.fact.qq.com/article?id=2cce4a92af5fd2cce83918b996d7091f
477,485,"Photo of ""Trump Stroke"" opens virus",2018/4/2,Song Hui,FALSE,https://vp.fact.qq.com/article?id=ddda352e82976a253fb4870fe2958e3a
478,486,"""Park Geun Hye is dead"" video is a virus",2018/1/4,Zheng Ziyu,FALSE,https://vp.fact.qq.com/article?id=8fea58e72d44ea1d3d7d291b473011a8
479,487,WeChat group mid-autumn blessing message is virus,2016/9/16,,FALSE,https://vp.fact.qq.com/article?id=2e2318d578fafba4b9df1ed5a6838a95
480,488,"""4G Traffic Free"" Link Is Virus",2017/1/17,,FALSE,https://vp.fact.qq.com/article?id=e9868f3db14806442916ac4f23555633
481,489,68 men and women died of CTC5 virus in Shanghai,2017/5/23,Cao Xiao,FALSE,https://vp.fact.qq.com/article?id=4d48863635b80727b40498903a94c541
874,1084,Color can identify mushroom toxicity,2014/7/28,Yu Jianmin,FALSE,https://vp.fact.qq.com/article?id=7561bc596f4bc8c08af89aaadf2f9bda
483,491,Virus in Taiyuan 12 earthquake video,2017/5/22,Song Hui,FALSE,https://vp.fact.qq.com/article?id=37a792801918bad2b7001cc1f462ff01
484,497,"Strawberry contains ""Norovirus"", it will be poisoned when eaten",2018/1/19,Wang Silu,FALSE,https://vp.fact.qq.com/article?id=44ff3c9c3d7a57d8acb22003eec27be6
872,1082,Boiled underwear can be sterilized,2017/6/22,Ruan Guangfeng,FALSE,https://vp.fact.qq.com/article?id=56d91825ede8d7a4edb5f924583f02f4
464,464,"The correct way to wear the mask: when the cold is colored outward, no cold is reversed",2020/1/22,International Rumor Verification Agency,FALSE,https://vp.fact.qq.com/article?id=ca1dd5415f6acd1fbf7c22fd1e6e3dc1
510,595,Zombies become infected with Ebola,2015/1/5,Yao Qiuqi,FALSE,https://vp.fact.qq.com/article?id=6d921262b32c2a7735fa5b6fdd6c53a1
1023,1376,Prolonged wearing of masks damages the respiratory system,2015/1/14,Xie Wangshi,FALSE,https://vp.fact.qq.com/article?id=a0af41b8dc5fb092e6bdfe47e11aea78
536,621,Three people died of SK5 virus in Pudong,2017/6/7,Liu Ziqi,FALSE,https://vp.fact.qq.com/article?id=4ea85cc4ad52f8bccc20239f31cf1c25
853,1063,Bottled water in the car in summer can become poisonous,2016/6/24,Zheng Ziyu,FALSE,https://vp.fact.qq.com/article?id=cccf517fa210b78a773917370ae702e4
538,623,Eating strawberries is prone to norovirus,2017/3/15,,FALSE,https://vp.fact.qq.com/article?id=b4f2164fa196f6e9423833648a728448
851,1061,Get a cup of salt water in the morning,2016/4/23,Doctor Lilac,FALSE,https://vp.fact.qq.com/article?id=a91c7fa32e40b463679eea1895038d15
540,625,"""SK5 virus"" killed three people in Dalian",2016/9/8,Tencent Medical Code,FALSE,https://vp.fact.qq.com/article?id=946a2181e7faeda255f3fd82fffa220f
848,1058,Rice will be toxins if reheated,2017/9/28,Kim Babe,FALSE,https://vp.fact.qq.com/article?id=f7ad8256ed27d110c5c5f5ea4029f86f
847,1057,Botox in milk drink,2017/5/27,Zhang Wei,FALSE,https://vp.fact.qq.com/article?id=850e54c142ffd25d3fccb3074a7157c9
544,641,"13 people in Leling infected with sk5 virus, involved in rescue doctors isolated",2020/2/27,Section of ginger,FALSE,https://vp.fact.qq.com/article?id=a7d8f596e092e4186c200de888c2f3ed
846,1056,"Haze, smoking, and poisoning can be solved by washing the lungs",2017/3/17,Yaxian,FALSE,https://vp.fact.qq.com/article?id=55662cc9fa4cc7411d6527f278ff3ba0
845,1055,Junk and toxins in blood vessels,2016/8/25,Yu Yue,FALSE,https://vp.fact.qq.com/article?id=23e9c1a0098b1f57be2becd6fdbca016
547,692,Large-scale zombie virus outbreak in the United States,2019/2/22,Anti-Overseas Rumor Center,FALSE,https://vp.fact.qq.com/article?id=9aba501718f4d3c02ab2497e46a4c90c
844,1054,Shampoo containing silicone oil is highly toxic,2014/11/7,Cloudless,FALSE,https://vp.fact.qq.com/article?id=ac3afa6d8514102d92972bafadaf0c57
843,1053,MSG is toxic when heated and can be harmful to the human body,2019/9/30,sue,FALSE,https://vp.fact.qq.com/article?id=0b16245918850b3bdb5cfa431718ee66
841,1051,Child poisoned after drinking soy milk,2015/12/9,Qian Cheng,FALSE,https://vp.fact.qq.com/article?id=ea4d3ba627b22962ea0cf2636b7a6013
551,696,Looking at the neck can tell if you are infected with HIV,2018/12/28,Wang Pengfei,FALSE,https://vp.fact.qq.com/article?id=610cd6b9e99b83332b615504e62f83d9
840,1050,"Food preservatives are ""poisons""",2015/12/21,Dan Qing,FALSE,https://vp.fact.qq.com/article?id=10162a52d73864b493aacfa108149e42
553,698,Mothers who have hepatitis B virus will definitely pass it on to their children,2018/12/13,Wei Wei,FALSE,https://vp.fact.qq.com/article?id=cd119b164543a528fdd5f72e5c736676
554,699,Putting onions in a bowl at home prevents flu virus,2018/9/11,Cheyenne,FALSE,https://vp.fact.qq.com/article?id=b76de5b6dcdebb4250dcf0fe90fe9c21
839,1049,"Pointed tomatoes are caused by excessive use of hormones, and will be poisoned by long-term consumption",2018/1/24,,FALSE,https://vp.fact.qq.com/article?id=bfd6ae370ed9b22a1396fa6d79bda119
535,620,Eating bayberry infected with sk5 virus dies,2017/6/1,More true sister,FALSE,https://vp.fact.qq.com/article?id=cafa1dc3363ce5868914f3c2990cd24f
511,596,Canned Thai fruits contain HIV,2013/9/10,,FALSE,https://vp.fact.qq.com/article?id=0b4d59e00aec876081a85742f1a6863e
534,619,"""Taiyuan M12 Earthquake"" video contains ransomware",2017/5/17,,FALSE,https://vp.fact.qq.com/article?id=aba392dce1169c10ff7d3065e5fe21ba
532,617,Trojan virus in WeChat transfers,2016/12/12,Zheng Ziyu,FALSE,https://vp.fact.qq.com/article?id=eabde648f1bfd3df8106e48cebcee639
513,598,Eat watermelon and die with sk5 virus,2018/4/4,,FALSE,https://vp.fact.qq.com/article?id=67604cf9e789cb4387fb7f840bbfc1e9
514,599,"""Women must watch"" and ""2016 salary adjustment plan"" have viruses",2016/5/16,,FALSE,https://vp.fact.qq.com/article?id=743e6ba707c0ae35655ad3f163a5b5a5
515,600,"WeChat ""People Admired"" Link Virus ",2016/12/29,,FALSE,https://vp.fact.qq.com/article?id=00023ec6f3f621b50cafd68f0e2e7b59
516,601,Rabies virus can be transmitted from mother to child,2018/3/25,,FALSE,https://vp.fact.qq.com/article?id=a25ed658c70003359c528fe384ca0ca7
517,602,Recessive infection with rabies virus,2018/3/25,,FALSE,https://vp.fact.qq.com/article?id=ffd26dff6de38ad0ae8ac36fc3c78806
518,603,Dogs are born with rabies virus,2018/3/25,,FALSE,https://vp.fact.qq.com/article?id=e85adc91bd3588cb538d8b2268e44a81
519,604,Rabies virus inoculation,2018/3/25,,FALSE,https://vp.fact.qq.com/article?id=1f412c719d79c46ab5ddbd58748afa69
857,1067,Spring tea poisoned with excessive pesticides,2017/3/7,Zheng Ziyu,FALSE,https://vp.fact.qq.com/article?id=1308ae74467ffbfb34785ba43864a1dc
856,1066,Water spinach is the most poisonous green leafy vegetable,2017/1/11,Zu Beichen,FALSE,https://vp.fact.qq.com/article?id=242d93057bdc34245cf50b08ff1d6809
522,607,Rabies virus does not spread through cats,2018/3/25,,FALSE,https://vp.fact.qq.com/article?id=4507d86f567419c0c1e568f78218f380
523,608,Rabies virus can only be transmitted by dogs,2018/3/25,Section of ginger,FALSE,https://vp.fact.qq.com/article?id=bc96f3ff289173390d1b0d882f256840
524,609,"Flu virus mutation, comeback in March",2018/3/4,,FALSE,https://vp.fact.qq.com/article?id=15ad7462b20d81f33ab42a0589db0d66
525,610,HBV carriers cannot buy critical illness insurance,2018/2/20,Xu Zhuqing,FALSE,https://vp.fact.qq.com/article?id=0dc8f69dee47131161e7c40de6d7476c
526,611,Many people died of swine virus infection in a hospital in Hebei,2018/1/24,,FALSE,https://vp.fact.qq.com/article?id=685eba26f57044c1a722466e11ceac70
527,612,3 people died of SK5 virus infection in Wuhan,2018/1/24,,FALSE,https://vp.fact.qq.com/article?id=51aa779bc4d62057c96b94ac5c2d6079
855,1065,Durian with milk poisoned cobra,2019/4/5,Zu Beichen,FALSE,https://vp.fact.qq.com/article?id=ccec820f6cf9ef6080adafc671fd3390
529,614,HIV infection means AIDS,2018/12/1,Song Hui,FALSE,https://vp.fact.qq.com/article?id=cea87bf4abac3a1ad5661bcaf5edc908
530,615,HIV infection means AIDS,2016/12/1,Wang Pengfei,FALSE,https://vp.fact.qq.com/article?id=06e9804e4a3f22e494c9e363c5f0ed8d
854,1064,WeChat opens a picture of the moon of 15 yuan and 16 yuan will be poisoned,2016/9/6,Zheng Ziyu,FALSE,https://vp.fact.qq.com/article?id=e689796ebaf8eae28445b3fb762d9e88
533,618,Public Security Network Supervisor Urgently Notifies SF Red Packet Is Virus,2017/2/28,Zu Beichen,FALSE,https://vp.fact.qq.com/article?id=704b83c1370f5c248de96c7bb0beed94
556,701,Offspring of AIDS patients must be carriers of the virus,2018/8/13,Wang Pengfei,FALSE,https://vp.fact.qq.com/article?id=cff3657102815dec0e75adc493415abf
463,463,New coronavirus antibodies treat and prevent pneumonia,2020/1/22,"Master of Pharmacology, PhD in Pediatrics",FALSE,https://vp.fact.qq.com/article?id=d024bb6fdb1f60a8a785dd83c9a935d4
461,461,Ordinary people need to wear goggles when going out to prevent new coronaviruses from invading their bodies,2020/1/22,"Doctor of Medicine, Deputy Chief Physician, Young Member of the Popular Science Branch of the Chinese Medical Association",FALSE,https://vp.fact.qq.com/article?id=fdd40d620723576776633b0da69968ce
395,395,Aspirin can effectively delay the development of new coronary pneumonia,2020/1/27,"Master of Pharmacology, PhD in Pediatrics",FALSE,https://vp.fact.qq.com/article?id=bc695209c3ce3ff32bcc98533f38d01f
396,396,High-speed road closures in Zhejiang on 27th,2020/1/27,Zhejiang News Broadcast,FALSE,https://vp.fact.qq.com/article?id=674b5dd962d302e96a0f7a54632022fd
397,397,"60,000 Wuhan personnel will come to Hangzhou from abroad",2020/1/27,Communist Party of Hangzhou Municipal Party Committee,FALSE,https://vp.fact.qq.com/article?id=5781c18950c1afa1c419174676cec5bb
398,398,Lactoferrin can prevent new coronavirus,2020/1/26,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=fe412f1f9a3a46ea88a303458e613f90
399,399,Nanjing to close the city to stop bus rental,2020/1/26,Mobile news client of Jiangsu Radio and Television Central Station,FALSE,https://vp.fact.qq.com/article?id=5adde1058eaac6d01a7c05a5d4b33180
400,400,Guangzhou wants to close the city,2020/1/26,"Southern Newspaper Mobile New Media! Newest, fastest, most Guangdong!",FALSE,https://vp.fact.qq.com/article?id=e3fc321831b0b2fd7ca30d86c91f37be
401,401,"CCTV News on the evening of the 26th, Bai Yansong will invite Academician Zhong Nanshan to introduce the epidemic situation",2020/1/26,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=28f3d8b413899fbf9f937edd255d60a6
402,402,"The Thai Immigration Office issued a document, which can be extended for a maximum of 2 months if you do not want to return to your country",2020/1/26,Hosted by Hangzhou Daily Newspaper Group,FALSE,https://vp.fact.qq.com/article?id=34fd5e1d18d840ca0a1ffd7e1add8424
403,403,"To prevent and control the epidemic, Beijing will be closed",2020/1/26,China Radio and Television General Broadcasting News Comprehensive Frequency,FALSE,https://vp.fact.qq.com/article?id=cd7b3690895357e05449a648af0d5f1f
404,404,Shenzhen will close the city on January 27,2020/1/26,South +,FALSE,https://vp.fact.qq.com/article?id=5bf6a63c3b213363d98d0e0a5930c23f
889,1099,Drink realgar wine to detoxify wounds,1970/1/1,,FALSE,https://vp.fact.qq.com/article?id=95ec0503c273286842c7cdda940228f0
406,406,Five people from Wuhan to Shanghai stayed at Jianguo Hotel and were infected,2020/1/26,Xuhui Shanghai,FALSE,https://vp.fact.qq.com/article?id=c492231a72034c234f830919890db2d7
407,407,"Garlic water can cure coronavirus pneumonia, drink plenty of garlic water",2020/1/26,"Master of Pharmacology, PhD in Pediatrics",FALSE,https://vp.fact.qq.com/article?id=fefb9e06b3219b62e0d4ea798c8f6b7e
408,408,Hangzhou Fengcheng Prevents and Controls New Pneumonia,2020/1/26,Guangming,FALSE,https://vp.fact.qq.com/article?id=8c32dcb40f836c66178ea609ad917283
409,409,The good news comes again: new crown pneumonia vaccine is coming out!,2020/1/26,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=b18b6b4bc530c1f32f14dc4349fb14fd
410,410,Wind olein can inhibit virus infection,2020/1/26,Professional medical science popularization platform under Tencent,FALSE,https://vp.fact.qq.com/article?id=34da5686374365359ba3f1058b64f23b
888,1098,"The first tea is equivalent to drinking ""poison""",2016/10/20,,FALSE,https://vp.fact.qq.com/article?id=dfdeae41d1695e99e1b9ea6340884851
412,412,Eating chili reduces risk of death from new coronavirus pneumonia,2020/1/26,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=e1de77718d74f1632adad425f0e55aa8
413,413,"Daqing people do not go out tomorrow, the government will arrange the plane to spray medicine for disinfection",2020/1/26,Daqing TV News Live Column,FALSE,https://vp.fact.qq.com/article?id=d04f1b33977712320713eefea013bc51
394,394,Chengdu adjusts bus line operations due to new coronavirus pneumonia,2020/1/27,Comprehensive professional news website under the Sichuan Daily Newspaper Group,FALSE,https://vp.fact.qq.com/article?id=3c34462d2a429138a695f379aaa92da3
887,1097,Tap the inside of the elbow to remove body toxins,2016/9/26,Zu Beichen,FALSE,https://vp.fact.qq.com/article?id=e002fc0c90cab8f5f6a22ec7b7e03a7c
393,393,Drinking 60 degrees more boiling water can prevent new pneumonia,2020/1/27,Professional medical science popularization platform under Tencent,FALSE,https://vp.fact.qq.com/article?id=2b6fdd17b8234df49c0330f7f63ad904
391,391,New coronavirus has been mixed in the air and will cause disease once breathed,2020/1/27,Professional medical science popularization platform under Tencent,FALSE,https://vp.fact.qq.com/article?id=a7fb6514f0184062b72a47c346bcedb9
372,372,Drinking water with garlic and rock sugar can prevent and treat new type of coronary pneumonia,2020/1/29,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=e42bf517901d711a5284cfe4ae0e0932
373,373,Resveratrol can treat and prevent new coronavirus,2020/1/29,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=14df1407153d2e462173a359c149e4cc
374,374,"Chengdu was closed on January 29, and the expressway was closed",2020/1/29,New Media Platform of Chengdu Media Group,FALSE,https://vp.fact.qq.com/article?id=72ff3366997c1a34b10bca4e85bc7d46
375,375,"On 28th, Heilongjiang Expressway was closed to a large extent due to the fight against new crown pneumonia",2020/1/29,Heilongjiang Province Official Comprehensive Website,FALSE,https://vp.fact.qq.com/article?id=ebbe1aae0f7e39b0670922d32fb9f8cd
893,1103,"Banana soaked in ""unknown liquid"", toxic when eaten",2017/5/15,Zhao Lichao,FALSE,https://vp.fact.qq.com/article?id=0b4727e9523095fd868ca2f549ce04a3
753,963,Personal protective gel can detoxify the vagina,2019/3/6,Cloudless,FALSE,https://vp.fact.qq.com/article?id=3b63e1c8b50076fd09b5deaf79bdef8a
378,378,Beijing supermarkets and vegetable markets to close for a week,2020/1/28,Comprehensive Large City Daily,FALSE,https://vp.fact.qq.com/article?id=01fdc799e251abf7787aaeb9df1f25b4
892,1102,Eating overnight fungus and white fungus can cause poisoning,2012/2/17,,FALSE,https://vp.fact.qq.com/article?id=2f5880e2f8a3a7da9d78248d4593c1c9
380,380,New coronavirus was discovered in 2018,2020/1/28,Central News Website hosted by the Communist Youth League Central Committee,FALSE,https://vp.fact.qq.com/article?id=b34e5424eb2e06ffb159535d8008a0bc
381,381,Taking more hot baths can prevent new coronavirus pneumonia,2020/1/28,Immunologist W,FALSE,https://vp.fact.qq.com/article?id=764341d40b7f29d815bb1438df6fb255
382,382,Seafood can infect new coronavirus,2020/1/28,Professional medical science popularization platform under Tencent,FALSE,https://vp.fact.qq.com/article?id=8c30841fe2230ced37fa194293d41704
891,1101,Biting pencils often leads to lead poisoning,2016/11/17,Wendy,FALSE,https://vp.fact.qq.com/article?id=de9bc960f3e7a8a18bd9cec387e30d0e
384,384,95% alcohol is better than 75% alcohol,2020/1/28,Professional medical science popularization platform under Tencent,FALSE,https://vp.fact.qq.com/article?id=65b017b6e4bdf505116062c0c3bdebfb
385,385,"The virus likes a 0 degree wet and cold environment, and the air conditioner dies at 20 degrees",2020/1/28,"Associate Professor of Research, Department of Pathology and Experimental Medicine, University of Pennsylvania School of Medicine",FALSE,https://vp.fact.qq.com/article?id=daac1da908e5a1cf4a0ed1aac580e22d
386,386,N95 masks that have been used for 7 days can be continued with a hair dryer or alcohol disinfection,2020/1/28,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=05175d989bec8b49f1ad10bab470079f
387,387,Spraying rooms with high-concentration liquor can prevent new coronavirus,2020/1/28,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=f2ce5e7b2518367879db349d0cb86871
388,388,SARS is a biological warfare specifically targeted at China by the United States and is a genocide plan,2020/1/27,"Doctor of Surgery, University of Tokyo, Japan",FALSE,https://vp.fact.qq.com/article?id=1ebcab80c179e87758f6c5be03bd135d
389,389,Drinking red wine can resist new coronavirus and delay disease development,2020/1/27,"Master of Pharmacology, PhD in Pediatrics",FALSE,https://vp.fact.qq.com/article?id=bb3e51a96ffbcf94f7ab87b9dcf9160a
390,390,Polysaccharides in shiitake mushrooms can enhance human immunity and fight against new coronavirus,2020/1/27,"Master of Pharmacology, PhD in Pediatrics",FALSE,https://vp.fact.qq.com/article?id=fe9c18c350d5e41552af5e6ce7d938a7
890,1100,Eating more carrots will cause vitamin A poisoning,2017/11/8,,FALSE,https://vp.fact.qq.com/article?id=6aebeb49e02da759f4fdc853938a418f
462,462,Peking Union Medical College Hospital flees Wuhan pneumonia patients,2020/1/22,Comprehensive Large City Daily,FALSE,https://vp.fact.qq.com/article?id=502100d9aaf5d5ed23850933140f8088
415,415,Eating more strawberries can prevent new coronavirus pneumonia,2020/1/26,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=2e6a8e6e60cf500c584d8bb7cd5d8984
885,1095,Chinese cooking method poisoned with arsenic,2017/3/15,,FALSE,https://vp.fact.qq.com/article?id=a060027b2e9b8586625d940c1eb931fb
442,442,"Wuhan ""Xiao Tangshan"" will stop work and relocate",2020/1/24,Journal of Hubei Provincial Party Committee,FALSE,https://vp.fact.qq.com/article?id=2c8efb1aaf3301bda65f4e8a0f8dbb44
443,443,Free masks for 49 hospitals in Shenzhen,2020/1/24,"Southern Newspaper Mobile New Media! Newest, fastest, most Guangdong!",FALSE,https://vp.fact.qq.com/article?id=cab42edfe34c0a660d6ba37476d423df
444,444,Hankou completely closed Hanyang strong restriction Wuchang weak restriction,2020/1/24,Report of the CPC Wuhan Municipal Committee,FALSE,https://vp.fact.qq.com/article?id=989ccb91c23b75fc5ddfb59c2cbd33e4
879,1089,The liver takes 32 days to detoxify a bowl of instant noodles,2016/4/22,Ding Yang,FALSE,https://vp.fact.qq.com/article?id=e5e830d07f623849d50977e5e69191e9
446,446,"Small sesame oil drops in the nostrils, which can block all flu and plague infections",2020/1/24,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=988871351d8c00c559c88786fc68e357
447,447,Xiangya Hospital sets up a tent to house patients from Wuhan,2020/1/24,News-based large-scale online information publishing platform built by the People's Daily,FALSE,https://vp.fact.qq.com/article?id=c5b56c9bae56f45d71e0e28f3eb8172a
448,448,Wuhan will be disconnected to prevent medical personnel from sharing related information,2020/1/24,Wuhan Internet Information Office,FALSE,https://vp.fact.qq.com/article?id=84c2a116ec99734d71675021085d1c8e
449,449,Hubei Economic TV host reporter wears a mask to broadcast news,2020/1/24,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=3e4e841ac97760f34210f1338aadef59
450,450,Jay Chou went to Fuzhou to participate in the event and brought his own isolation box,2020/1/24,Professional fact verification platform under Tencent News,FALSE,https://vp.fact.qq.com/article?id=c1bfc88046a489a9b287ec4584197297
451,451,Family of three in Wuhan confirms diagnosis of new coronavirus pneumonia,2020/1/23,"""Business Observer"" new business information platform",FALSE,https://vp.fact.qq.com/article?id=e633815442b986f8220183e6c42d2166
452,452,Wuhan gas station closed,2020/1/23,Financial New Media,FALSE,https://vp.fact.qq.com/article?id=8c8cf484eaa5792ffbcc8d8918981f74
453,453,Anti-flu drugs oseltamivir and ribavirin prevent new coronavirus,2020/1/23,"Master of Pharmacology, PhD in Pediatrics",FALSE,https://vp.fact.qq.com/article?id=7e76b95972ff53d590c7cf4d8f48d57c
454,454,Doctor Hangzhou Tips: Applying wind oil to people can effectively prevent respiratory diseases,2020/1/23,"Master of Pharmacology, PhD in Pediatrics",FALSE,https://vp.fact.qq.com/article?id=3b513f8b105f991db2117cdbf8965801
455,455,Drinking high-alcohol and sauna can fight new coronavirus,2020/1/23,"PhD, Food Engineering, Department of Agriculture and Biology, Purdue University",FALSE,https://vp.fact.qq.com/article?id=e645f3ef33879460c954a47cbbc85d0e
